Date,Time,Open,High,Low,Close,Volume,9SMA,21SMA,200SMA
2013-01-02,06:55:00,4441.25,4441.25,4440.5,4440.75,44,4440.98142436422,4439.36915070705,4414.33551424473
2013-01-02,06:56:00,4440.75,4441,4440.25,4440.25,92,4440.83513949138,4439.4492279155,4414.57003447781
2013-01-02,06:57:00,4440.25,4440.25,4439.25,4439.5,151,4440.5681115931,4439.45384355954,4414.79564502552
2013-01-02,06:58:00,4439.5,4439.75,4438.75,4438.75,44,4440.20448927448,4439.3898577814,4415.0124265185
2013-01-02,06:59:00,4438.75,4440,4438.75,4439.25,309,4440.01359141959,4439.37714343764,4415.2317710749
2013-01-02,07:00:00,4439.5,4439.75,4439.25,4439.25,74,4439.86087313567,4439.36558494331,4415.44913061268
2013-01-02,07:01:00,4439.5,4440,4438.75,4439.25,217,4439.73869850854,4439.35507722119,4415.66452309582
2013-01-02,07:02:00,4439.25,4440,4438.5,4440,135,4439.79095880683,4439.41370656472,4415.88475365604
2013-01-02,07:03:00,4439.75,4440.5,4439,4440.5,203,4439.93276704546,4439.51246051338,4416.1075160664
2013-01-02,07:04:00,4440.5,4440.75,4439.25,4439.75,167,4439.89621363637,4439.53405501216,4416.32147519702
2013-01-02,07:05:00,4440,4440.5,4439.75,4440.25,135,4439.9669709091,4439.59914092015,4416.53802293279
2013-01-02,07:06:00,4440,4440.25,4439.5,4440,192,4439.97357672728,4439.63558265468,4416.75034851711
2013-01-02,07:07:00,4440,4440.25,4439.5,4440,175,4439.97886138182,4439.66871150425,4416.96075260293
2013-01-02,07:08:00,4440,4440.25,4439.75,4440,98,4439.98308910546,4439.69882864023,4417.16925257937
2013-01-02,07:09:00,4440.25,4440.25,4439.75,4440,48,4439.98647128437,4439.72620785476,4417.3758656782
2013-01-02,07:10:00,4440,4440.25,4440,4440.25,51,4440.03917702749,4439.77382532251,4417.58287141867
2013-01-02,07:11:00,4440,4440.25,4439.75,4439.75,79,4439.98134162199,4439.7716593841,4417.78347891714
2013-01-02,07:12:00,4440,4440.25,4439.5,4440,113,4439.9850732976,4439.7924176219,4417.98453340658
2013-01-02,07:13:00,4440,4440.25,4439.25,4439.25,185,4439.83805863808,4439.743106929,4418.17698106806
2013-01-02,07:14:00,4439.25,4439.5,4439,4439.25,181,4439.72044691046,4439.69827902637,4418.36768712174
2013-01-02,07:15:00,4439.25,4439.25,4438,4438.25,338,4439.42635752837,4439.5666172967,4418.54761755503
2013-01-02,07:16:00,4438,4438.5,4437.5,4437.5,286,4439.0410860227,4439.378742997,4418.71913232829
2013-01-02,07:17:00,4437.75,4440,4437.5,4439.5,259,4439.13286881816,4439.38976636091,4418.90719447917
2013-01-02,07:18:00,4440,4440.5,4439.5,4440,98,4439.30629505453,4439.44524214628,4419.098079597
2013-01-02,07:19:00,4440,4440.5,4440,4440.5,120,4439.54503604362,4439.54112922389,4419.29176213459
2013-01-02,07:20:00,4440.5,4440.75,4440,4440.25,140,4439.6860288349,4439.60557202172,4419.48142944558
2013-01-02,07:21:00,4440.25,4440.75,4440.25,4440.25,118,4439.79882306792,4439.66415638338,4419.66938031033
2013-01-02,07:22:00,4440.5,4440.75,4440,4440.75,123,4439.98905845433,4439.76286943944,4419.86015514915
2013-01-02,07:23:00,4440.5,4441.75,4440.5,4441.5,194,4440.29124676347,4439.92079039949,4420.05599084916
2013-01-02,07:24:00,4441.5,4441.75,4441,4441.5,97,4440.53299741077,4440.06435490862,4420.25005428039
2013-01-02,07:25:00,4441.5,4442.25,4441.5,4442,53,4440.82639792862,4440.2403226442,4420.44688636835
2013-01-02,07:26:00,4442,4442.25,4441.5,4442,133,4441.0611183429,4440.40029331291,4420.64193717045
2013-01-02,07:27:00,4442,4442,4440,4440.5,320,4440.94889467432,4440.40935755719,4420.82164814628
2013-01-02,07:28:00,4440.75,4441.75,4440.75,4441.75,213,4441.10911573945,4440.5312341429,4421.01104499563
2013-01-02,07:29:00,4441.5,4441.75,4441.5,4441.5,49,4441.18729259156,4440.61930376628,4421.19646540291
2013-01-02,07:30:00,4441.75,4441.75,4441.5,4441.75,83,4441.29983407325,4440.72209433298,4421.3824702409
2013-01-02,07:31:00,4442,4443.25,4441.75,4443.25,530,4441.6898672586,4440.95190393907,4421.58036643781
2013-01-02,07:32:00,4443.25,4443.5,4442.5,4442.75,252,4441.90189380688,4441.11536721734,4421.77194683204
2013-01-02,07:33:00,4443,4445.25,4442.75,4445,834,4442.52151504551,4441.46851565213,4421.98215545799
2013-01-02,07:34:00,4445,4445,4444,4444,360,4442.8172120364,4441.69865059284,4422.18141196969
2013-01-02,07:35:00,4444.25,4444.75,4444,4444.5,262,4443.15376962912,4441.95331872077,4422.38339014191
2013-01-02,07:36:00,4444.5,4444.75,4444.25,4444.25,105,4443.3730157033,4442.16210792797,4422.58127801393
2013-01-02,07:37:00,4444.25,4444.75,4444.25,4444.5,145,4443.59841256264,4442.37464357088,4422.77963748891
2013-01-02,07:38:00,4444.5,4444.75,4443.75,4444,221,4443.67873005011,4442.52240324626,4422.97167696865
2013-01-02,07:39:00,4444,4444.25,4443.5,4443.5,87,4443.64298404009,4442.61127567841,4423.15745364767
2013-01-02,07:40:00,4443.5,4444,4443.5,4444,89,4443.71438723207,4442.73752334401,4423.34607397665
2013-01-02,07:41:00,4444.25,4444.75,4444.25,4444.5,120,4443.87150978566,4442.89774849456,4423.5375122212
2013-01-02,07:42:00,4444.5,4444.75,4444.25,4444.5,111,4443.99720782853,4443.04340772232,4423.72721799296
2013-01-02,07:43:00,4444.5,4445,4444.25,4445,154,4444.19776626282,4443.22127974757,4423.91973185728
2013-01-02,07:44:00,4445,4445,4444.75,4445,163,4444.35821301026,4443.3829815887,4424.11050351468
2013-01-02,07:45:00,4444.75,4446,4444.75,4445.75,158,4444.63657040821,4443.59816508063,4424.30633606206
2013-01-02,07:46:00,4445.5,4447.25,4445.5,4446.25,559,4444.95925632657,4443.83924098239,4424.50492125606
2013-01-02,07:47:00,4446.5,4447.25,4446.5,4447,342,4445.36740506125,4444.12658271127,4424.70849662931
2013-01-02,07:48:00,4447,4448.5,4446.75,4448.25,433,4445.943924049,4444.50143882842,4424.92154190869
2013-01-02,07:49:00,4448.25,4448.5,4447.25,4447.5,227,4446.2551392392,4444.77403529857,4425.12587184616
2013-01-02,07:50:00,4447.5,4447.75,4447.25,4447.25,118,4446.45411139136,4444.9991229987,4425.3260902005
